Scenario,Vehicle Type,Drive,slow_chargers,fast_chargers,Stocks_millions,kwh_of_battery_capacity,kw_of_chargers,average_kwh_of_battery_capacity_by_vehicle_type,average_kw_per_slow_charger,average_kw_per_fast_charger,slow_kw_of_chargers,fast_kw_of_chargers,public_charger_utilisation_rate
Reference,2w,bev,27641.58294,0,24.58740046,122937002.3,304057.4123,5,11,200,304057.4123,0,0.05
Reference,bus,bev,129382.1485,7116.018165,2.877160386,575432077.2,2846407.266,200,11,200,1423203.633,1423203.633,0.1
Reference,bus,phev,0,0,0,0,0,60,11,200,0,0,0.015
Reference,car,bev,48740117.93,1148874.208,309.6764964,15483824820,765916138.9,50,11,200,536141297.2,229774841.7,1
Reference,car,phev,5956.941148,140.4136128,1.051338281,12616059.37,93609.07518,12,11,200,65526.35263,28082.72256,0.15
Reference,ht,bev,479701.0914,105534.2401,1.066744519,533372259.6,26383560.03,500,11,200,5276712.006,21106848.02,1
Reference,ht,phev,0.049697673,0.010933488,2.46E-06,368.3871878,2.733372042,150,11,200,0.546674408,2.186697634,0.15
Reference,lcv,bev,3830099.409,210655.4675,21.29314288,1703451430,84262186.99,80,11,200,42131093.49,42131093.49,1
Reference,lcv,phev,0,0,0,0,0,20,11,200,0,0,0.15
Reference,lt,bev,2180410.57,119922.5813,9.697459799,969745979.9,47969032.54,100,11,200,23984516.27,23984516.27,1
Reference,lt,phev,308.8254589,16.98540024,0.036627016,915675.3973,6794.160095,25,11,200,3397.080048,3397.080048,0.15
Reference,mt,bev,456423.8664,100413.2506,1.691635571,507490671.3,25103312.65,300,11,200,5020662.53,20082650.12,1
Reference,mt,phev,0.01624223,0.003573291,1.50E-06,120.3965733,0.893322674,80,11,200,0.178664535,0.714658139,0.15
Reference,suv,bev,6142490.472,144787.2754,27.87649227,1951354459,96524850.28,70,11,200,67567395.2,28957455.08,1
Reference,suv,phev,874.8582348,20.62165839,0.102935598,1852840.771,13747.77226,18,11,200,9623.440583,4124.331678,0.15
