Medium,Transport Type,Vehicle Type,Drive,Scenario,Frequency,Fuel,Supply_side_fuel_mixing,Demand_side_fuel_mixing
road,passenger,2w,bev,Reference,Yearly,17_electricity,FALSE,FALSE
road,passenger,2w,ice_d,Reference,Yearly,16_x_efuel,New fuel,FALSE
road,passenger,2w,ice_d,Reference,Yearly,16_06_biodiesel,New fuel,FALSE
road,passenger,2w,ice_d,Reference,Yearly,07_07_gas_diesel_oil,Original fuel,FALSE
road,passenger,2w,ice_g,Reference,Yearly,16_x_efuel,New fuel,FALSE
road,passenger,2w,ice_g,Reference,Yearly,16_05_biogasoline,New fuel,FALSE
road,passenger,2w,ice_g,Reference,Yearly,07_01_motor_gasoline,Original fuel,FALSE
air,passenger,all,air_av_gas,Reference,Yearly,16_x_efuel,New fuel,FALSE
air,passenger,all,air_av_gas,Reference,Yearly,16_07_bio_jet_kerosene,New fuel,FALSE
air,passenger,all,air_av_gas,Reference,Yearly,07_02_aviation_gasoline,Original fuel,FALSE
air,passenger,all,air_diesel,Reference,Yearly,16_x_efuel,New fuel,FALSE
air,passenger,all,air_diesel,Reference,Yearly,16_06_biodiesel,New fuel,FALSE
air,passenger,all,air_diesel,Reference,Yearly,07_07_gas_diesel_oil,Original fuel,FALSE
air,passenger,all,air_fuel_oil,Reference,Yearly,07_08_fuel_oil,FALSE,FALSE
air,passenger,all,air_gasoline,Reference,Yearly,16_x_efuel,New fuel,FALSE
air,passenger,all,air_gasoline,Reference,Yearly,16_05_biogasoline,New fuel,FALSE
air,passenger,all,air_gasoline,Reference,Yearly,07_01_motor_gasoline,Original fuel,FALSE
air,passenger,all,air_jet_fuel,Reference,Yearly,16_x_efuel,New fuel,FALSE
air,passenger,all,air_jet_fuel,Reference,Yearly,16_07_bio_jet_kerosene,New fuel,FALSE
air,passenger,all,air_jet_fuel,Reference,Yearly,07_x_jet_fuel,Original fuel,FALSE
air,passenger,all,air_kerosene,Reference,Yearly,16_x_efuel,New fuel,FALSE
air,passenger,all,air_kerosene,Reference,Yearly,16_07_bio_jet_kerosene,New fuel,FALSE
