Medium,Transport Type,Vehicle Type,Drive,Frequency,Measure,Unit
road,passenger,2w,bev,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,2w,ice_d,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,2w,ice_g,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,bus,bev,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,bus,cng,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,bus,fcev,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,bus,ice_d,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,bus,ice_g,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,bus,lpg,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,bus,phev_d,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,bus,phev_g,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,car,bev,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,car,cng,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,car,fcev,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,car,ice_d,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,car,ice_g,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,car,lpg,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,car,phev_d,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,car,phev_g,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,lt,bev,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,lt,cng,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,lt,fcev,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,lt,ice_d,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,lt,ice_g,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,lt,lpg,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,lt,phev_d,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,lt,phev_g,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,suv,bev,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,suv,cng,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,suv,fcev,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,suv,ice_d,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,suv,ice_g,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,suv,lpg,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,suv,phev_d,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,suv,phev_g,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,freight,ht,bev,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,freight,ht,cng,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,freight,ht,fcev,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,freight,ht,ice_d,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,freight,ht,ice_g,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,freight,ht,lpg,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,freight,ht,phev_d,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,freight,ht,phev_g,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,freight,lcv,bev,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,freight,lcv,cng,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,freight,lcv,fcev,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,freight,lcv,ice_d,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,freight,lcv,ice_g,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,freight,lcv,lpg,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,freight,lcv,phev_d,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,freight,lcv,phev_g,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,freight,mt,bev,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,freight,mt,cng,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,freight,mt,fcev,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,freight,mt,ice_d,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,freight,mt,ice_g,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,freight,mt,lpg,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,freight,mt,phev_d,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,freight,mt,phev_g,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,2w,bev,Yearly,Energy,Pj
road,passenger,2w,ice_d,Yearly,Energy,Pj
road,passenger,2w,ice_g,Yearly,Energy,Pj
road,passenger,bus,bev,Yearly,Energy,Pj
road,passenger,bus,cng,Yearly,Energy,Pj
road,passenger,bus,fcev,Yearly,Energy,Pj
road,passenger,bus,ice_d,Yearly,Energy,Pj
road,passenger,bus,ice_g,Yearly,Energy,Pj
road,passenger,bus,lpg,Yearly,Energy,Pj
road,passenger,bus,phev_d,Yearly,Energy,Pj
road,passenger,bus,phev_g,Yearly,Energy,Pj
road,passenger,car,bev,Yearly,Energy,Pj
road,passenger,car,cng,Yearly,Energy,Pj
road,passenger,car,fcev,Yearly,Energy,Pj
road,passenger,car,ice_d,Yearly,Energy,Pj
road,passenger,car,ice_g,Yearly,Energy,Pj
road,passenger,car,lpg,Yearly,Energy,Pj
road,passenger,car,phev_d,Yearly,Energy,Pj
road,passenger,car,phev_g,Yearly,Energy,Pj
road,passenger,lt,bev,Yearly,Energy,Pj
road,passenger,lt,cng,Yearly,Energy,Pj
road,passenger,lt,fcev,Yearly,Energy,Pj
road,passenger,lt,ice_d,Yearly,Energy,Pj
road,passenger,lt,ice_g,Yearly,Energy,Pj
road,passenger,lt,lpg,Yearly,Energy,Pj
road,passenger,lt,phev_d,Yearly,Energy,Pj
road,passenger,lt,phev_g,Yearly,Energy,Pj
road,passenger,suv,bev,Yearly,Energy,Pj
road,passenger,suv,cng,Yearly,Energy,Pj
road,passenger,suv,fcev,Yearly,Energy,Pj
road,passenger,suv,ice_d,Yearly,Energy,Pj
road,passenger,suv,ice_g,Yearly,Energy,Pj
road,passenger,suv,lpg,Yearly,Energy,Pj
road,passenger,suv,phev_d,Yearly,Energy,Pj
road,passenger,suv,phev_g,Yearly,Energy,Pj
road,freight,ht,bev,Yearly,Energy,Pj
road,freight,ht,cng,Yearly,Energy,Pj
road,freight,ht,fcev,Yearly,Energy,Pj
road,freight,ht,ice_d,Yearly,Energy,Pj
road,freight,ht,ice_g,Yearly,Energy,Pj
road,freight,ht,lpg,Yearly,Energy,Pj
road,freight,ht,phev_d,Yearly,Energy,Pj
road,freight,ht,phev_g,Yearly,Energy,Pj
road,freight,lcv,bev,Yearly,Energy,Pj
road,freight,lcv,cng,Yearly,Energy,Pj
road,freight,lcv,fcev,Yearly,Energy,Pj
road,freight,lcv,ice_d,Yearly,Energy,Pj
road,freight,lcv,ice_g,Yearly,Energy,Pj
road,freight,lcv,lpg,Yearly,Energy,Pj
road,freight,lcv,phev_d,Yearly,Energy,Pj
road,freight,lcv,phev_g,Yearly,Energy,Pj
road,freight,mt,bev,Yearly,Energy,Pj
road,freight,mt,cng,Yearly,Energy,Pj
road,freight,mt,fcev,Yearly,Energy,Pj
road,freight,mt,ice_d,Yearly,Energy,Pj
road,freight,mt,ice_g,Yearly,Energy,Pj
road,freight,mt,lpg,Yearly,Energy,Pj
road,freight,mt,phev_d,Yearly,Energy,Pj
road,freight,mt,phev_g,Yearly,Energy,Pj
road,passenger,2w,bev,Yearly,Stocks,Stocks
road,passenger,2w,ice_d,Yearly,Stocks,Stocks
road,passenger,2w,ice_g,Yearly,Stocks,Stocks
road,passenger,bus,bev,Yearly,Stocks,Stocks
road,passenger,bus,cng,Yearly,Stocks,Stocks
road,passenger,bus,fcev,Yearly,Stocks,Stocks
road,passenger,bus,ice_d,Yearly,Stocks,Stocks
