Region,const,alpha,r2,Model,Gdp_per_capita_growth_coeff,Gdp_times_capita_growth_coeff,Gdp_growth_coeff,Population_growth_coeff,Population_growth_lag1_coeff,Population_growth_lead1_coeff,Gdp_per_capita_growth_lag1_coeff,Gdp_per_capita_growth_lead1_coeff,Gdp_times_capita_growth_lag1_coeff,Gdp_times_capita_growth_lead1_coeff,Gdp_growth_lag1_coeff,Gdp_growth_lead1_coeff,Economy
Low_density,0.019614645,0.001,0.196650398,lasso,0,0,0.007286991,0,0,0,0,0,0,0,0,0,01_AUS
Low_density,0.019614645,0.001,0.196650398,lasso,0,0,0.007286991,0,0,0,0,0,0,0,0,0,03_CDA
Low_density,0.019614645,0.001,0.196650398,lasso,0,0,0.007286991,0,0,0,0,0,0,0,0,0,12_NZ
Low_density,0.019614645,0.001,0.196650398,lasso,0,0,0.007286991,0,0,0,0,0,0,0,0,0,13_PNG
Low_density,0.019614645,0.001,0.196650398,lasso,0,0,0.007286991,0,0,0,0,0,0,0,0,0,16_RUS
Low_density,0.019614645,0.001,0.196650398,lasso,0,0,0.007286991,0,0,0,0,0,0,0,0,0,20_USA
City,0.015090305,100,0,lasso,0,0,0,0,0,0,0,0,0,0,0,0,02_BD
City,0.015090305,100,0,lasso,0,0,0,0,0,0,0,0,0,0,0,0,06_HKC
City,0.015090305,100,0,lasso,0,0,0,0,0,0,0,0,0,0,0,0,17_SGP
Developing_high_density,0.045675617,0.001,0.167529533,lasso,0,0.008333236,0.0051217,0,0,0.00231528,0.003222638,0,0,0.007805177,0,0,04_CHL
Developing_high_density,0.045675617,0.001,0.167529533,lasso,0,0.008333236,0.0051217,0,0,0.00231528,0.003222638,0,0,0.007805177,0,0,07_INA
Developing_high_density,0.045675617,0.001,0.167529533,lasso,0,0.008333236,0.0051217,0,0,0.00231528,0.003222638,0,0,0.007805177,0,0,10_MAS
Developing_high_density,0.045675617,0.001,0.167529533,lasso,0,0.008333236,0.0051217,0,0,0.00231528,0.003222638,0,0,0.007805177,0,0,11_MEX
Developing_high_density,0.045675617,0.001,0.167529533,lasso,0,0.008333236,0.0051217,0,0,0.00231528,0.003222638,0,0,0.007805177,0,0,14_PE
Developing_high_density,0.045675617,0.001,0.167529533,lasso,0,0.008333236,0.0051217,0,0,0.00231528,0.003222638,0,0,0.007805177,0,0,15_PHL
Developing_high_density,0.045675617,0.001,0.167529533,lasso,0,0.008333236,0.0051217,0,0,0.00231528,0.003222638,0,0,0.007805177,0,0,18_CT
Developing_high_density,0.045675617,0.001,0.167529533,lasso,0,0.008333236,0.0051217,0,0,0.00231528,0.003222638,0,0,0.007805177,0,0,19_THA
Developing_high_density,0.045675617,0.001,0.167529533,lasso,0,0.008333236,0.0051217,0,0,0.00231528,0.003222638,0,0,0.007805177,0,0,21_VN
Developed_high_density,0.031276682,0.001,0.539116407,lasso,0.018946618,0.002020042,0.001761599,0,0.010321885,0,0,0,0,0.002328208,0,0,05_PRC
Developed_high_density,0.031276682,0.001,0.539116407,lasso,0.018946618,0.002020042,0.001761599,0,0.010321885,0,0,0,0,0.002328208,0,0,08_JPN
Developed_high_density,0.031276682,0.001,0.539116407,lasso,0.018946618,0.002020042,0.001761599,0,0.010321885,0,0,0,0,0.002328208,0,0,09_ROK
